q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.756,0.092185,0.49031,0.067,7.3037e-05,1.1247e-05,0.00027849,1.8079e-05
0.756,0.11135,0.53017,0.086339,0.00021476,1.5552e-05,0.00043039,2.3328e-05
0.756,0.12926,0.5681,0.10445,0.00020619,3.5002e-05,0.00099164,3.7802e-05
0.756,0.14568,0.60343,0.12107,0.0003045,4.7481e-05,0.0016482,7.662e-05
0.756,0.15934,0.63322,0.13491,0.00036329,5.9826e-05,0.0023962,9.0725e-05
0.756,0.17256,0.66241,0.14832,0.00059423,6.6827e-05,0.0032263,9.6133e-05
0.756,0.18997,0.7014,0.16602,0.00087083,0.00010295,0.0046441,0.00012954
0.756,0.20939,0.74559,0.18578,0.0011907,0.00013732,0.0065249,0.0001632
0.756,0.23087,0.79537,0.20769,0.0016087,0.00022476,0.0086774,0.00026881
0.756,0.25233,0.846,0.22961,0.0026081,0.00023035,0.0095486,0.00027678
0.756,0.27131,0.89155,0.24904,0.0027526,0.00030334,0.011081,0.00033299
0.756,0.31142,0.9902,0.29019,0.0026065,0.00023246,0.012194,0.00026785
0.756,0.34997,1.088,0.32989,0.0022594,0.00041606,0.011705,0.00041901
0.756,0.36731,1.133,0.34778,0.0023704,0.00038305,0.010872,0.00038533
0.756,0.39337,1.2017,0.37473,0.002101,0.00028608,0.010955,0.00028162
0.756,0.53469,1.5981,0.52191,0.0022572,0.00060298,0.021779,0.00036698
