q (GeV),nu (GeV),W^2 (GeV^2),Ex (GeV),RL (GeV^-1),RL error (GeV^-1),RT (GeV^-1),RT error (GeV^-1)
0.649,0.044392,0.54443,0.025639,6.0381e-05,1.0644e-05,0.00026582,1.5025e-05
0.649,0.067901,0.59118,0.049266,0.00015309,2.685e-05,0.00090523,3.9435e-05
0.649,0.084337,0.62453,0.065814,0.00027089,4.0258e-05,0.0016245,6.2054e-05
0.649,0.099802,0.6564,0.081407,0.00053574,9.8869e-05,0.0028069,8.3833e-05
0.649,0.1153,0.68882,0.097056,0.00069608,0.00011706,0.0042625,9.12e-05
0.649,0.13086,0.72185,0.11279,0.001234,0.0001477,0.0059683,0.0001444
0.649,0.14515,0.7526,0.12725,0.0020372,0.00025188,0.0077595,0.00019098
0.649,0.15806,0.78075,0.14034,0.0024824,0.00020758,0.0097356,0.00021248
0.649,0.17203,0.81157,0.15451,0.0034759,0.0002395,0.011169,0.00024059
0.649,0.18552,0.84171,0.16822,0.0042917,0.00034187,0.012295,0.00037277
0.649,0.20002,0.8745,0.18296,0.0035169,0.00036761,0.01508,0.00041356
0.649,0.2185,0.91692,0.20179,0.0038729,0.00054641,0.016058,0.00047045
0.649,0.23987,0.96681,0.2236,0.005232,0.00050403,0.016266,0.00040142
0.649,0.26145,1.0181,0.24566,0.0048775,0.00055336,0.015562,0.00044269
0.649,0.28245,1.069,0.26718,0.0039863,0.00049463,0.015395,0.0004893
0.649,0.3079,1.1318,0.2933,0.0034466,0.00055719,0.014204,0.00059516
0.649,0.3384,1.2087,0.32468,0.0023188,0.0006037,0.014389,0.00059639
0.649,0.36876,1.2871,0.356,0.0045245,0.0010433,0.013293,0.0010549
0.649,0.39498,1.3564,0.38312,0.003852,0.0010169,0.017076,0.00090514
0.649,0.41745,1.4168,0.40641,0.0047637,0.0016703,0.019391,0.0015469
0.649,0.44312,1.487,0.43306,0.0057057,0.0018664,0.021894,0.0013903
0.649,0.48074,1.5924,0.47224,0.0048261,0.0032802,0.024361,0.0022158
0.649,0.56506,1.8388,0.5605,0.0054987,0.0029238,0.024224,0.001251
